,age_group_id,location_name,location_id,modelable_entity_name,modelable_entity_id,mean,population,sex_id,year_id
763,22,North Korea,7,Diet low in seafood omega-3 fatty acids (g/day),2429,0.008271236451999802,8651072.871478606,2,2016
381,22,North Korea,7,Diet low in seafood omega-3 fatty acids (g/day),2429,0.008874568448127746,16775581.257299028,3,2016
1142,22,North Korea,7,Diet low in fruits (g/day),2430,59.24588991601588,8124508.385820423,1,2016
1143,22,North Korea,7,Diet low in fruits (g/day),2430,68.50696751447494,8651072.871478606,2,2016
571,22,North Korea,7,Diet low in fruits (g/day),2430,64.02177552879178,16775581.257299028,3,2016
1522,22,North Korea,7,Diet low in whole grains (g/day),2431,37.60745458328842,8124508.385820423,1,2016
1523,22,North Korea,7,Diet low in whole grains (g/day),2431,40.29812994229088,8651072.871478606,2,2016
761,22,North Korea,7,Diet low in whole grains (g/day),2431,38.995020727626596,16775581.257299028,3,2016
1902,22,North Korea,7,Diet low in legumes (g/day),2432,72.6577083104978,8124508.385820423,1,2016
1903,22,North Korea,7,Diet low in legumes (g/day),2432,61.90737255390618,8651072.871478606,2,2016
951,22,North Korea,7,Diet low in legumes (g/day),2432,67.11382064444919,16775581.257299028,3,2016
2282,22,North Korea,7,Diet low in milk (g/day),2433,3.737912039114431,8124508.385820423,1,2016
2283,22,North Korea,7,Diet low in milk (g/day),2433,3.553433830803051,8651072.871478606,2,2016
1141,22,North Korea,7,Diet low in milk (g/day),2433,3.6427776650010353,16775581.257299028,3,2016
2662,22,North Korea,7,Diet low in nuts and seeds (g/day),2434,0.4108268398067247,8124508.385820423,1,2016
2663,22,North Korea,7,Diet low in nuts and seeds (g/day),2434,0.3949357878292375,8651072.871478606,2,2016
1331,22,North Korea,7,Diet low in nuts and seeds (g/day),2434,0.4026319137082993,16775581.257299028,3,2016
3042,22,North Korea,7,Diet high in processed meat (g/day),2435,0.5303368439380939,8124508.385820423,1,2016
3043,22,North Korea,7,Diet high in processed meat (g/day),2435,0.3813812629885424,8651072.871478606,2,2016
1521,22,North Korea,7,Diet high in processed meat (g/day),2435,0.4535212888975006,16775581.257299028,3,2016
3422,22,North Korea,7,Diet low in polyunsaturated fatty acids (% energy/day),2436,0.10732408356591117,8124508.385820423,1,2016
3423,22,North Korea,7,Diet low in polyunsaturated fatty acids (% energy/day),2436,0.10637585395291528,8651072.871478606,2,2016
1711,22,North Korea,7,Diet low in polyunsaturated fatty acids (% energy/day),2436,0.10683508688942628,16775581.257299028,3,2016
3802,22,North Korea,7,Diet high in red meat (g/day),2437,7.307557749589928,8124508.385820423,1,2016
3803,22,North Korea,7,Diet high in red meat (g/day),2437,4.94822302547063,8651072.871478606,2,2016
1901,22,North Korea,7,Diet high in red meat (g/day),2437,6.09086210646965,16775581.257299028,3,2016
4182,22,North Korea,7,Diet high in sodium (g/day),2438,4.046324677343017,8124508.385820423,1,2016
4183,22,North Korea,7,Diet high in sodium (g/day),2438,4.289375716702409,8651072.871478606,2,2016
2091,22,North Korea,7,Diet high in sodium (g/day),2438,4.171664730884939,16775581.257299028,3,2016
4562,22,North Korea,7,Diet high in saturated fatty acids (% energy/day),2439,0.042161360964304444,8124508.385820423,1,2016
4563,22,North Korea,7,Diet high in saturated fatty acids (% energy/day),2439,0.04223341436544676,8651072.871478606,2,2016
2281,22,North Korea,7,Diet high in saturated fatty acids (% energy/day),2439,0.042198518497886105,16775581.257299028,3,2016
4942,22,North Korea,7,Diet high in sugar-sweetened beverages (g/day),2440,96.87456660313731,8124508.385820423,1,2016
4943,22,North Korea,7,Diet high in sugar-sweetened beverages (g/day),2440,65.45756497119443,8651072.871478606,2,2016
2471,22,North Korea,7,Diet high in sugar-sweetened beverages (g/day),2440,80.67299562013221,16775581.257299028,3,2016
5322,22,North Korea,7,Diet high in trans fatty acids (% energy/day),2441,0.0025822860620348573,8124508.385820423,1,2016
5323,22,North Korea,7,Diet high in trans fatty acids (% energy/day),2441,0.0031549673248872246,8651072.871478606,2,2016
2661,22,North Korea,7,Diet high in trans fatty acids (% energy/day),2441,0.0028776145672638857,16775581.257299028,3,2016
5702,22,North Korea,7,Diet low in vegetables (g/day),2442,225.57241131620145,8124508.385820423,1,2016
5703,22,North Korea,7,Diet low in vegetables (g/day),2442,208.56741171260842,8651072.871478606,2,2016
2851,22,North Korea,7,Diet low in vegetables (g/day),2442,216.8030286942944,16775581.257299028,3,2016
4,22,Taiwan,8,Diet low in calcium (g/day),2427,0.5304796177640532,8508985.55814207,1,2016
5,22,Taiwan,8,Diet low in calcium (g/day),2427,0.47296044777358603,8859480.221857943,2,2016
2,22,Taiwan,8,Diet low in calcium (g/day),2427,0.5011396659592698,17368465.780000012,3,2016
384,22,Taiwan,8,Diet low in fiber (g/day),2428,11.087364675733548,8508985.55814207,1,2016
385,22,Taiwan,8,Diet low in fiber (g/day),2428,9.444724838274764,8859480.221857943,2,2016
192,22,Taiwan,8,Diet low in fiber (g/day),2428,10.249470567184254,17368465.780000012,3,2016
764,22,Taiwan,8,Diet low in seafood omega-3 fatty acids (g/day),2429,0.08203921646850955,8508985.55814207,1,2016
765,22,Taiwan,8,Diet low in seafood omega-3 fatty acids (g/day),2429,0.06852255691915002,8859480.221857943,2,2016
382,22,Taiwan,8,Diet low in seafood omega-3 fatty acids (g/day),2429,0.07514450397864575,17368465.780000012,3,2016
1144,22,Taiwan,8,Diet low in fruits (g/day),2430,164.7929427176891,8508985.55814207,1,2016
1145,22,Taiwan,8,Diet low in fruits (g/day),2430,189.12781011858434,8859480.221857943,2,2016
572,22,Taiwan,8,Diet low in fruits (g/day),2430,177.20591454667047,17368465.780000012,3,2016
1524,22,Taiwan,8,Diet low in whole grains (g/day),2431,30.218680315555382,8508985.55814207,1,2016
1525,22,Taiwan,8,Diet low in whole grains (g/day),2431,25.95418285895976,8859480.221857943,2,2016
762,22,Taiwan,8,Diet low in whole grains (g/day),2431,28.043402927705852,17368465.780000012,3,2016
1904,22,Taiwan,8,Diet low in legumes (g/day),2432,52.49802297144582,8508985.55814207,1,2016
1905,22,Taiwan,8,Diet low in legumes (g/day),2432,39.452458855935305,8859480.221857943,2,2016
952,22,Taiwan,8,Diet low in legumes (g/day),2432,45.84361153820148,17368465.780000012,3,2016
2284,22,Taiwan,8,Diet low in milk (g/day),2433,35.56040685863521,8508985.55814207,1,2016
2285,22,Taiwan,8,Diet low in milk (g/day),2433,34.41089850653342,8859480.221857943,2,2016
1142,22,Taiwan,8,Diet low in milk (g/day),2433,34.974054175600116,17368465.780000012,3,2016
2664,22,Taiwan,8,Diet low in nuts and seeds (g/day),2434,7.406553533793538,8508985.55814207,1,2016
2665,22,Taiwan,8,Diet low in nuts and seeds (g/day),2434,7.107336196441675,8859480.221857943,2,2016
1332,22,Taiwan,8,Diet low in nuts and seeds (g/day),2434,7.253925770588432,17368465.780000012,3,2016
3044,22,Taiwan,8,Diet high in processed meat (g/day),2435,2.1217145037254292,8508985.55814207,1,2016
3045,22,Taiwan,8,Diet high in processed meat (g/day),2435,1.6120288727640146,8859480.221857943,2,2016
1522,22,Taiwan,8,Diet high in processed meat (g/day),2435,1.8617289745448642,17368465.780000012,3,2016
3424,22,Taiwan,8,Diet low in polyunsaturated fatty acids (% energy/day),2436,0.18386140277228183,8508985.55814207,1,2016
3425,22,Taiwan,8,Diet low in polyunsaturated fatty acids (% energy/day),2436,0.18078443895199434,8859480.221857943,2,2016
1712,22,Taiwan,8,Diet low in polyunsaturated fatty acids (% energy/day),2436,0.1822918743836201,17368465.780000012,3,2016
3804,22,Taiwan,8,Diet high in red meat (g/day),2437,70.70584949092868,8508985.55814207,1,2016
3805,22,Taiwan,8,Diet high in red meat (g/day),2437,44.3096695724825,8859480.221857943,2,2016
1902,22,Taiwan,8,Diet high in red meat (g/day),2437,57.2414228177699,17368465.780000012,3,2016
4184,22,Taiwan,8,Diet high in sodium (g/day),2438,3.801445545658679,8508985.55814207,1,2016
4185,22,Taiwan,8,Diet high in sodium (g/day),2438,4.040044049648658,8859480.221857943,2,2016
2092,22,Taiwan,8,Diet high in sodium (g/day),2438,3.9231522498569418,17368465.780000012,3,2016
4564,22,Taiwan,8,Diet high in saturated fatty acids (% energy/day),2439,0.08261444705702055,8508985.55814207,1,2016
4565,22,Taiwan,8,Diet high in saturated fatty acids (% energy/day),2439,0.08276781702563307,8859480.221857943,2,2016
2282,22,Taiwan,8,Diet high in saturated fatty acids (% energy/day),2439,0.08269267954000212,17368465.780000012,3,2016
4944,22,Taiwan,8,Diet high in sugar-sweetened beverages (g/day),2440,107.63740536835375,8508985.55814207,1,2016
4945,22,Taiwan,8,Diet high in sugar-sweetened beverages (g/day),2440,76.08025752834773,8859480.221857943,2,2016
2472,22,Taiwan,8,Diet high in sugar-sweetened beverages (g/day),2440,91.54042071305277,17368465.780000012,3,2016
5324,22,Taiwan,8,Diet high in trans fatty acids (% energy/day),2441,0.0025971252263421014,8508985.55814207,1,2016
5325,22,Taiwan,8,Diet high in trans fatty acids (% energy/day),2441,0.0031572158235575096,8859480.221857943,2,2016
2662,22,Taiwan,8,Diet high in trans fatty acids (% energy/day),2441,0.0028828218233433425,17368465.780000012,3,2016
5704,22,Taiwan,8,Diet low in vegetables (g/day),2442,292.0705138515777,8508985.55814207,1,2016
5705,22,Taiwan,8,Diet low in vegetables (g/day),2442,277.4586633660203,8859480.221857943,2,2016
2852,22,Taiwan,8,Diet low in vegetables (g/day),2442,284.6171554478315,17368465.780000012,3,2016
6,22,Cambodia,10,Diet low in calcium (g/day),2427,0.18384061869985768,3675074.6353980238,1,2016
7,22,Cambodia,10,Diet low in calcium (g/day),2427,0.16375380494953864,4178861.1241619177,2,2016
3,22,Cambodia,10,Diet low in calcium (g/day),2427,0.17315298288779796,7853935.7595599415,3,2016
386,22,Cambodia,10,Diet low in fiber (g/day),2428,5.027936945356609,3675074.6353980238,1,2016
387,22,Cambodia,10,Diet low in fiber (g/day),2428,4.2362723337184995,4178861.1241619177,2,2016
193,22,Cambodia,10,Diet low in fiber (g/day),2428,4.606714188992404,7853935.7595599415,3,2016
766,22,Cambodia,10,Diet low in seafood omega-3 fatty acids (g/day),2429,0.01925347183558885,3675074.6353980238,1,2016
767,22,Cambodia,10,Diet low in seafood omega-3 fatty acids (g/day),2429,0.01645782300437386,4178861.1241619177,2,2016
383,22,Cambodia,10,Diet low in seafood omega-3 fatty acids (g/day),2429,0.01776598472400244,7853935.7595599415,3,2016
1146,22,Cambodia,10,Diet low in fruits (g/day),2430,37.40043169439082,3675074.6353980238,1,2016
1147,22,Cambodia,10,Diet low in fruits (g/day),2430,42.81388191734739,4178861.1241619177,2,2016
573,22,Cambodia,10,Diet low in fruits (g/day),2430,40.280778233610086,7853935.7595599415,3,2016
1526,22,Cambodia,10,Diet low in whole grains (g/day),2431,18.56791800732354,3675074.6353980238,1,2016
1527,22,Cambodia,10,Diet low in whole grains (g/day),2431,23.594012894734238,4178861.1241619177,2,2016
763,22,Cambodia,10,Diet low in whole grains (g/day),2431,21.24216352884871,7853935.7595599415,3,2016
1906,22,Cambodia,10,Diet low in legumes (g/day),2432,45.28014822259991,3675074.6353980238,1,2016
1907,22,Cambodia,10,Diet low in legumes (g/day),2432,38.63705787445442,4178861.1241619177,2,2016
953,22,Cambodia,10,Diet low in legumes (g/day),2432,41.74554431826191,7853935.7595599415,3,2016
2286,22,Cambodia,10,Diet low in milk (g/day),2433,4.855691070327775,3675074.6353980238,1,2016
2287,22,Cambodia,10,Diet low in milk (g/day),2433,4.743754429732732,4178861.1241619177,2,2016
1143,22,Cambodia,10,Diet low in milk (g/day),2433,4.796132692200918,7853935.7595599415,3,2016
2666,22,Cambodia,10,Diet low in nuts and seeds (g/day),2434,2.3419981834608232,3675074.6353980238,1,2016
2667,22,Cambodia,10,Diet low in nuts and seeds (g/day),2434,2.2653035733419715,4178861.1241619177,2,2016
1333,22,Cambodia,10,Diet low in nuts and seeds (g/day),2434,2.3011911111253625,7853935.7595599415,3,2016
3046,22,Cambodia,10,Diet high in processed meat (g/day),2435,0.547581629409498,3675074.6353980238,1,2016
3047,22,Cambodia,10,Diet high in processed meat (g/day),2435,0.4026068198540571,4178861.1241619177,2,2016
1523,22,Cambodia,10,Diet high in processed meat (g/day),2435,0.47044455900545457,7853935.7595599415,3,2016
3426,22,Cambodia,10,Diet low in polyunsaturated fatty acids (% energy/day),2436,0.019880708329324197,3675074.6353980238,1,2016
3427,22,Cambodia,10,Diet low in polyunsaturated fatty acids (% energy/day),2436,0.019362325109286493,4178861.1241619177,2,2016
1713,22,Cambodia,10,Diet low in polyunsaturated fatty acids (% energy/day),2436,0.01960489101276458,7853935.7595599415,3,2016
3806,22,Cambodia,10,Diet high in red meat (g/day),2437,15.467408636382611,3675074.6353980238,1,2016
3807,22,Cambodia,10,Diet high in red meat (g/day),2437,10.063130447657747,4178861.1241619177,2,2016
