Country/Region/World,ISO,Sex,Year,Mean BMI,Mean BMI lower 95% uncertainty interval,Mean BMI upper 95% uncertainty interval,Prevalence of BMI>2SD (obesity),Prevalence of BMI>2SD lower 95% uncertainty interval,Prevalence of BMI>2SD upper 95% uncertainty interval,Prevalence of BMI>1SD (overweight),Prevalence of BMI>1SD lower 95% uncertainty interval,Prevalence of BMI>1SD upper 95% uncertainty interval,Prevalence of 1SD<BMI<2SD,Prevalence of 1SD<BMI<2SD lower 95% uncertainty interval,Prevalence of 1SD<BMI<2SD upper 95% uncertainty interval,Prevalence of minus1SD<BMI<1SD,Prevalence of minus1SD<BMI<1SD lower 95% uncertainty interval,Prevalence of minus1SD<BMI<1SD upper 95% uncertainty interval,Prevalence of minus2SD<BMI<minus1SD,Prevalence of minus2SD<BMI<minus1SD lower 95% uncertainty interval,Prevalence of minus2SD<BMI<minus1SD upper 95% uncertainty interval,Prevalence of BMI<minus1SD (underweight),Prevalence of BMI<minus1SD lower 95% uncertainty interval,Prevalence of BMI<minus1SD upper 95% uncertainty interval,Prevalence of BMI<minus2SD (moderate & severe underweight),Prevalence of BMI<minus2SD lower 95% uncertainty interval,Prevalence of BMI<minus2SD upper 95% uncertainty interval
World,NA,Boys,1975,16.7736188639929,16.338106398369,17.2253771485074,0.00860342135460783,0.00528326730033926,0.0134325534025859,0.0403137642736815,0.0306340821258396,0.052340834150258,0.0317103429190737,0.0227684045732042,0.0430733809531248,0.546575110808286,0.492707210417099,0.600569811308165,0.265239134622297,0.210503844711345,0.320434329490731,0.413111124918032,0.358740728947726,0.466928328342831,0.147871990295735,0.104448104710132,0.195007236206241
World,NA,Boys,1976,16.8005256989254,16.3988414238576,17.2121848616945,0.00894167459955107,0.00565276283281047,0.01365466299322,0.0414366143677293,0.0319122796099305,0.0529723910288908,0.0324949397681783,0.0237805914910298,0.0433351173437377,0.547071537381031,0.495531296515263,0.598882010007139,0.264268962278258,0.211246445015089,0.31708723671355,0.411491848251239,0.359130432970622,0.463273186595223,0.147222885972981,0.105447288650906,0.191810343323461
World,NA,Boys,1977,16.8275572784927,16.4609045957483,17.201959737266,0.00931126287637505,0.00605149065241386,0.0138421280929961,0.042620364037545,0.0333670979638433,0.0536486117002897,0.03330910116117,0.0247459839581271,0.0437485983546632,0.547475831550129,0.497616110140049,0.597076736360609,0.263301308908569,0.212445082647523,0.31387499542999,0.409903804412326,0.359458087771039,0.459975177252897,0.146602495503758,0.106568884516008,0.189337064584498
World,NA,Boys,1978,16.8549054071849,16.519117293014,17.1955605371515,0.00971613773180446,0.00649855695442383,0.0141337844797935,0.0438806472979923,0.0347362755363663,0.0544113914035313,0.0341645095661878,0.0258091964231823,0.044122743944979,0.547731800573137,0.499803404476128,0.595669968211835,0.262329515321776,0.214178399721454,0.310684389517421,0.408387552128871,0.359855312000964,0.456458970715497,0.146058036807095,0.108105256293993,0.186741874579765
World,NA,Boys,1979,16.8829502533965,16.5716196405021,17.196703295683,0.0101607072600157,0.00693884705927412,0.0144809820290712,0.045235795149184,0.0362172226532903,0.0556194499778866,0.0350750878891682,0.0268801633929692,0.0445769049177911,0.547759091766184,0.5017709711177,0.593923197438688,0.261364565219287,0.215210305576913,0.307460289965867,0.407005113084632,0.360502790107247,0.452906372130709,0.145640547865345,0.109719976775373,0.184840403337159
World,NA,Boys,1980,16.911161456849,16.6213685596856,17.2032031458472,0.0106521021899539,0.00743161472880284,0.0148714651503671,0.0467089824104502,0.0378331628040835,0.0567349754638232,0.0360568802204962,0.0280222545756837,0.0452309699801191,0.547515157624997,0.503887097166462,0.591911716434042,0.26040123557905,0.216419727934067,0.30433213546616,0.405775859964552,0.361274786816402,0.449387818821259,0.145374624385502,0.110771983088024,0.183015332718931
World,NA,Boys,1981,16.939277275953,16.6676004995847,17.2127588366429,0.0111922011456349,0.0079797961673087,0.0153972627358947,0.0483025503418206,0.0395962515940484,0.0580986227109916,0.0371103491961857,0.0291931389940749,0.0460894148502211,0.546990383600161,0.505387004354858,0.589478783173015,0.259429915784637,0.217673849173608,0.301049653556835,0.404707066058018,0.362327373142277,0.446034176209296,0.145277150273381,0.112500865034571,0.181366365958753
World,NA,Boys,1982,16.9669026840788,16.7105373814561,17.2262481649604,0.0117819444698196,0.00853731138881211,0.0159574358755754,0.050018115833376,0.0415668970154979,0.0595886226481234,0.0382361713635564,0.0304721329175328,0.0469885405571007,0.546188474912004,0.506817056740384,0.586641522735536,0.258459468199425,0.218811856438595,0.297994720096649,0.40379340925462,0.363191985115535,0.443506531555652,0.145333941055195,0.11376871332569,0.179804341496587
World,NA,Boys,1983,16.9945913806764,16.7518344165993,17.241988639498,0.0124250803493696,0.00914789301272521,0.0166154230599226,0.0518669936010999,0.0434436206756263,0.0612074001532188,0.0394419132517303,0.0318640335732714,0.0481118841908808,0.545179211376613,0.5078056677181,0.583831960694526,0.257460886458341,0.219618073086826,0.295040917397782,0.402953795022287,0.364120276398889,0.441222551055742,0.145492908563946,0.115503814520848,0.178534594534082
World,NA,Boys,1984,17.0237867525058,16.789754971497,17.2594188951649,0.0131242108313519,0.00980072898677,0.017327103798234,0.053853680996591,0.0455972984583783,0.0630658294612394,0.0407294701652391,0.0333398363308295,0.0492586557940864,0.544068770330645,0.50818781455267,0.580729131195074,0.256406877522914,0.22085965871122,0.292025761477774,0.402077548672764,0.365649463509264,0.43850269275113,0.145670671149851,0.117143042131675,0.177102474110374
World,NA,Boys,1985,17.0558017777267,16.8340411964229,17.2775799234881,0.0138818183823058,0.0105121739408539,0.0180976813639375,0.0559864539275751,0.0477379529966018,0.0650123830677047,0.0421046355452693,0.0347569531011167,0.0505136335318176,0.542939097258258,0.508630608554891,0.577849437573347,0.255271584079881,0.221164997177857,0.289173070605911,0.401074448814167,0.366372765877605,0.43600932271159,0.145802864734286,0.118424119205015,0.175570513309833
World,NA,Boys,1986,17.091180488171,16.8786519358779,17.3035328719761,0.0146971997243048,0.0112748671378156,0.0189172990825915,0.0582620840593807,0.0501957882100487,0.0671987586176136,0.0435648843350759,0.0362993756047951,0.0518994310760624,0.541819478629377,0.509232967187267,0.57512308411895,0.254038827224787,0.221636150336744,0.286420985386977,0.399918437311242,0.366608861451437,0.432950264719451,0.145879610086456,0.119400873904453,0.174140412216141
World,NA,Boys,1987,17.128398030072,16.9252697713893,17.3342021198713,0.0155767537493691,0.0121163859903786,0.019698785262971,0.0606818838028999,0.0527141825012463,0.069427119812418,0.0451051300535308,0.0379284294333685,0.0532313961359434,0.540686216263224,0.50963672898302,0.572533057056747,0.252721225867607,0.222242188323392,0.283458403795708,0.398631899933876,0.367469944055111,0.42991125136723,0.14591067406627,0.120357534786553,0.173011461656104
World,NA,Boys,1988,17.1661087643037,16.9735265459926,17.3614014818417,0.0165158923104107,0.0130156864450765,0.0206231681600003,0.063228052444603,0.0553780907553488,0.0717678298454819,0.0467121601341922,0.0396161324881113,0.0546892989948792,0.539555348790266,0.509728437190782,0.570017528354593,0.251333492725401,0.22273444352938,0.281004834807066,0.397216598765131,0.367133803675186,0.427045396613816,0.145883106039731,0.121246952593654,0.171711519583579
World,NA,Boys,1989,17.2032080913169,17.021262698396,17.3908305366114,0.0175085659667987,0.0139774261752214,0.0215761954499614,0.0658745676447784,0.058127046307643,0.074317646674723,0.0483660016779797,0.041327895346101,0.0561854942524729,0.538448389157173,0.509580741483663,0.567798900339894,0.249896464996606,0.222729644772678,0.278253948492444,0.395677043198049,0.366636978006729,0.42422184079241,0.145780578201442,0.12219148195922,0.170549634419911
World,NA,Boys,1990,17.2386603737811,17.0640203753577,17.4190453075775,0.0185532941377551,0.0150285437137125,0.0226039793375229,0.0686054509613643,0.0608789893771556,0.0768980894977896,0.0500521568236092,0.0430841365221144,0.0576658205123965,0.537375663426265,0.509607392171322,0.565524787809696,0.248431249286751,0.222553728254172,0.275324476090606,0.39401888561237,0.366265892779219,0.421324310195367,0.145587636325619,0.122895163043359,0.169229015836578
World,NA,Boys,1991,17.2728423789227,17.1077149112799,17.4453502277049,0.0196461219874349,0.0160685653688181,0.0236749590493683,0.0714133022143493,0.0637488984077844,0.0795269889799449,0.0517671802269144,0.0448606282129994,0.0592709543454177,0.536365200643615,0.509533997954002,0.563508700194393,0.246935289449709,0.222348291223462,0.272506854837771,0.392221497142035,0.36581604572671,0.418609802746408,0.145286207692326,0.123377877883048,0.168120214219707
World,NA,Boys,1992,17.3061729840964,17.1466399288793,17.4686900252234,0.0207926014310243,0.0172307075900685,0.0247729575427881,0.0743154164118766,0.0667124358534184,0.0823707364377427,0.0535228149808523,0.0467353407051102,0.0609033131373819,0.535391711241515,0.509773357114241,0.561272208285231,0.245397898171448,0.22178595809175,0.26982763853603,0.390292872346609,0.365008379554796,0.41570322226883,0.144894974175161,0.124152682872901,0.166893005966754
World,NA,Boys,1993,17.3382348693667,17.1868567089193,17.4917235912865,0.0220026403008129,0.0184315035958573,0.0259860649226589,0.0773344168899158,0.0698885186436997,0.0853345545926175,0.0553317765891029,0.0485481401593449,0.0625669553126425,0.534437772865643,0.509743743772728,0.559196087633822,0.243805370348897,0.221189953990087,0.267153877763954,0.388227810244441,0.364021041018792,0.412520155327158,0.144422439895544,0.124386483097319,0.165318063801335
World,NA,Boys,1994,17.3696642222209,17.2238359086216,17.5158201021478,0.0232799694184172,0.0196464502412393,0.0272532246908881,0.0804901191414833,0.0732186306535876,0.0885181202499448,0.0572101497230661,0.0505149006686883,0.0644161071679368,0.533465538752584,0.509666255599163,0.557431641880194,0.24216572188719,0.2205134515181,0.264363966188755,0.386044342105933,0.362587134029003,0.409260646985576,0.143878620218743,0.124478903934786,0.163755748379423
World,NA,Boys,1995,17.4016755520893,17.2617922910003,17.5410389000845,0.0246306558690165,0.0209310735138506,0.0286626777453965,0.0837927132371869,0.0765420848350239,0.0916580731614724,0.0591620573681704,0.0525231639044693,0.0662737338561907,0.532469637483438,0.509594009842988,0.555410728628241,0.240472319631843,0.219994500209824,0.261696841330694,0.383737649279375,0.361291734995518,0.405948322735614,0.143265329647532,0.124466451598538,0.162453779211164
World,NA,Boys,1996,17.4359918027897,17.3030971242901,17.5689757142247,0.0260565264042034,0.0222877539202004,0.0301185402649086,0.0872526288984373,0.0799955373023449,0.0950722300955627,0.0611961024942339,0.0546012375499942,0.0682969604634272,0.531472821920004,0.509622605409533,0.553386857494132,0.238721649245911,0.219342537135063,0.259108034540492,0.381274549181558,0.359835242751245,0.40226389788095,0.142552899935648,0.124401354243205,0.160940140220942
World,NA,Boys,1997,17.4728276436948,17.3436004252169,17.6032788802127,0.027563099280816,0.0237670009227859,0.031645304519402,0.0908816924522388,0.0835597376753333,0.0986612718211315,0.0633185931714229,0.0568085992733597,0.0703150728191747,0.53045631128989,0.509371621084022,0.551578037416379,0.236916534698402,0.218212850909783,0.256408823624412,0.378661996257871,0.357903825504747,0.398756623404285,0.141745461559469,0.124252569936465,0.159281533539763
World,NA,Boys,1998,17.5117700825039,17.3874652024268,17.6386396116057,0.0291521004784034,0.0253313882245623,0.0332459207839726,0.0946784990125618,0.0873694875909826,0.102535893959627,0.0655263985341584,0.0589178581137673,0.0725685957037609,0.529363300299972,0.508834910057473,0.549675737218719,0.23505526070106,0.216963561901168,0.253633757934515,0.375958200687466,0.355912637702038,0.395377714615317,0.140902939986406,0.124247257815631,0.157750327065163
