"year","indicator","disaggregation","disagg.value","component","rec","unit","year_range","value.unweighted","value","value.sum","total.pop","n","N","region"
"2001","adult_anemia","pregnancy","Non-pregnant women","I",,,"",30.8818181818182,"31.5784518549529",5774.9,6186363.518,187,,"World"
"2002","adult_anemia","pregnancy","All women","I",,,"",30.8577540106952,"31.5451235200655",5770.4,6264823.912,187,,"World"
"2002","adult_anemia","pregnancy","Pregnant women","I",,,"",36.1754010695187,"35.8063080047508",6764.8,6264823.912,187,,"World"
"2002","adult_anemia","pregnancy","Non-pregnant women","I",,,"",30.5122994652406,"31.3212365269589",5705.8,6264823.912,187,,"World"
"2003","adult_anemia","pregnancy","Non-pregnant women","I",,,"",30.2090909090909,"31.1404347338638",5649.1,6343819.862,187,,"World"
"2003","adult_anemia","pregnancy","All women","I",,,"",30.5524064171123,"31.3618966882165",5713.3,6343819.862,187,,"World"
"2003","adult_anemia","pregnancy","Pregnant women","I",,,"",35.8780748663102,"35.6971499573769",6709.2,6343819.862,187,,"World"
"2004","adult_anemia","pregnancy","All women","I",,,"",30.2679144385027,"31.1950315864127",5660.1,6423534.603,187,,"World"
"2004","adult_anemia","pregnancy","Non-pregnant women","I",,,"",29.9283422459893,"30.9756455048398",5596.6,6423534.603,187,,"World"
"2004","adult_anemia","pregnancy","Pregnant women","I",,,"",35.5989304812834,"35.5960295014542",6657,6423534.603,187,,"World"
"2005","adult_anemia","pregnancy","Pregnant women","I",,,"",35.3224598930481,"35.5192800790563",6605.3,6504093.652,187,,"World"
"2005","adult_anemia","pregnancy","Non-pregnant women","I",,,"",29.6245989304813,"30.8210550600325",5539.8,6504093.652,187,,"World"
"2005","adult_anemia","pregnancy","All women","I",,,"",29.9679144385027,"31.0249006245244",5604,6504093.652,187,,"World"
"2006","adult_anemia","pregnancy","Pregnant women","I",,,"",35.0358288770054,"35.4341230674135",6551.7,6585570.845,187,,"World"
"2006","adult_anemia","pregnancy","Non-pregnant women","I",,,"",29.2743315508021,"30.597903272742",5474.3,6585570.845,187,,"World"
"2006","adult_anemia","pregnancy","All women","I",,,"",29.6176470588235,"30.8256955658792",5538.5,6585570.845,187,,"World"
"2007","adult_anemia","pregnancy","All women","I",,,"",29.2262032085562,"30.5971177549108",5465.3,6667946.724,187,,"World"
"2007","adult_anemia","pregnancy","Pregnant women","I",,,"",34.7470588235294,"35.3414900594518",6497.7,6667946.724,187,,"World"
"2007","adult_anemia","pregnancy","Non-pregnant women","I",,,"",28.8743315508021,"30.3611055950752",5399.5,6667946.724,187,,"World"
"2008","adult_anemia","pregnancy","Non-pregnant women","I",,,"",28.4609625668449,"30.1222057413621",5322.2,6751117.441,187,,"World"
"2008","adult_anemia","pregnancy","Pregnant women","I",,,"",34.4877005347594,"35.2994137285369",6449.2,6751117.441,187,,"World"
"2008","adult_anemia","pregnancy","All women","I",,,"",28.8208556149733,"30.3781574493721",5389.5,6751117.441,187,,"World"
"2009","adult_anemia","pregnancy","Non-pregnant women","I",,,"",28.0866310160428,"29.9257805127117",5252.2,6834913.09,187,,"World"
"2009","adult_anemia","pregnancy","Pregnant women","I",,,"",34.2663101604278,"35.3082704914541",6407.8,6834913.09,187,,"World"
"2009","adult_anemia","pregnancy","All women","I",,,"",28.4513368983957,"30.183216197662",5320.4,6834913.09,187,,"World"
"2010","adult_anemia","pregnancy","Pregnant women","I",,,"",34.1299465240642,"35.3749922297047",6382.3,6919170.756,187,,"World"
"2010","adult_anemia","pregnancy","Non-pregnant women","I",,,"",27.8251336898396,"29.8728755434259",5203.3,6919170.756,187,,"World"
"2010","adult_anemia","pregnancy","All women","I",,,"",28.1973262032086,"30.1422367201079",5272.9,6919170.756,187,,"World"
"2011","adult_anemia","pregnancy","Non-pregnant women","I",,,"",27.7069518716578,"29.9587616766932",5181.2,7003842.9,187,,"World"
"2011","adult_anemia","pregnancy","Pregnant women","I",,,"",34.075935828877,"35.5524039978395",6372.2,7003842.9,187,,"World"
"2011","adult_anemia","pregnancy","All women","I",,,"",28.0828877005348,"30.2272212641863",5251.5,7003842.9,187,,"World"
"2012","adult_anemia","pregnancy","Non-pregnant women","I",,,"",27.7385026737968,"30.1671484835412",5187.1,7088846.711,187,,"World"
"2012","adult_anemia","pregnancy","Pregnant women","I",,,"",34.0802139037433,"35.7768359910442",6373,7088846.711,187,,"World"
"2012","adult_anemia","pregnancy","All women","I",,,"",28.1101604278075,"30.4352103451486",5256.6,7088846.711,187,,"World"
"2013","adult_anemia","pregnancy","Pregnant women","I",,,"",34.124064171123,"36.0145291159389",6381.2,7173931.672,187,,"World"
"2013","adult_anemia","pregnancy","Non-pregnant women","I",,,"",27.8919786096257,"30.5248492465151",5215.8,7173931.672,187,,"World"
"2013","adult_anemia","pregnancy","All women","I",,,"",28.2422459893048,"30.7833838731605",5281.3,7173931.672,187,,"World"
"2014","adult_anemia","pregnancy","Non-pregnant women","I",,,"",28.1582887700535,"30.9866360076787",5265.6,7258790.365,187,,"World"
"2014","adult_anemia","pregnancy","Pregnant women","I",,,"",34.196256684492,"36.3062703592074",6394.7,7258790.365,187,,"World"
"2014","adult_anemia","pregnancy","All women","I",,,"",28.5058823529412,"31.2308838882138",5330.6,7258790.365,187,,"World"
"2015","adult_anemia","pregnancy","Non-pregnant women","I",,,"",28.6465240641711,"31.643599979502",5356.9,7343172.989,187,,"World"
"2015","adult_anemia","pregnancy","Pregnant women","I",,,"",34.383422459893,"36.6808043316546",6429.7,7343172.989,187,,"World"
"2015","adult_anemia","pregnancy","All women","I",,,"",28.9770053475936,"31.8735130150561",5418.7,7343172.989,187,,"World"
"2016","adult_anemia","pregnancy","Non-pregnant women","I",,,"",29.3032085561497,"32.4569683720703",5479.7,7426948.142,187,,"World"
"2016","adult_anemia","pregnancy","All women","I",,,"",29.6,"32.6699865723527",5535.2,7426948.142,187,,"World"
"2016","adult_anemia","pregnancy","Pregnant women","I",,,"",34.6807486631016,"37.1416267281377",6485.3,7426948.142,187,,"World"
"1999","adult_blood_pressure","gender","Female","H",,,"",0.256471076756614,"0.234393837627264",48.473033507,5977061.551,189,,"World"
"1999","adult_blood_pressure","gender","Male","H",,,"",0.293785202190476,"0.265162706872526",55.525403214,5977061.551,189,,"World"
"2000","adult_blood_pressure","gender","Female","H",,,"",0.254419666550265,"0.233202428413591",48.085316978,6054244.179,189,,"World"
"2000","adult_blood_pressure","gender","Male","H",,,"",0.291990192740741,"0.264255361539734",55.186146428,6054244.179,189,,"World"
"2001","adult_blood_pressure","gender","Male","H",,,"",0.290197867396825,"0.263328005055863",54.847396938,6131761.246,189,,"World"
"2001","adult_blood_pressure","gender","Female","H",,,"",0.252344362650794,"0.231962471729075",47.693084541,6131761.246,189,,"World"
"2002","adult_blood_pressure","gender","Female","H",,,"",0.250254193767196,"0.230702933248909",47.298042622,6209667.78,189,,"World"
"2002","adult_blood_pressure","gender","Male","H",,,"",0.288402622746032,"0.262381104330517",54.508095699,6209667.78,189,,"World"
"2003","adult_blood_pressure","gender","Male","H",,,"",0.286592186476191,"0.261384059188531",54.165923244,6288140.073,189,,"World"
"2003","adult_blood_pressure","gender","Female","H",,,"",0.248152473566138,"0.229404447178949",46.900817504,6288140.073,189,,"World"
"2004","adult_blood_pressure","gender","Male","H",,,"",0.284777778179894,"0.260335069399132",53.823000076,6367336.66,189,,"World"
"2004","adult_blood_pressure","gender","Female","H",,,"",0.246044724100529,"0.228058353594936",46.502452855,6367336.66,189,,"World"
"2005","adult_blood_pressure","gender","Male","H",,,"",0.282950019417989,"0.259236402129051",53.47755367,6447364.936,189,,"World"
"2005","adult_blood_pressure","gender","Female","H",,,"",0.243946619867725,"0.226692055149822",46.105911155,6447364.936,189,,"World"
"2006","adult_blood_pressure","gender","Male","H",,,"",0.281103336100529,"0.258100319175434",53.128530523,6528296.278,189,,"World"
"2006","adult_blood_pressure","gender","Female","H",,,"",0.241855045354497,"0.225304908939616",45.710603572,6528296.278,189,,"World"
"2007","adult_blood_pressure","gender","Female","H",,,"",0.239779686619048,"0.223913612227906",45.318360771,6610117.639,189,,"World"
"2007","adult_blood_pressure","gender","Male","H",,,"",0.279259986301587,"0.256921463265606",52.780137411,6610117.639,189,,"World"
"2008","adult_blood_pressure","gender","Male","H",,,"",0.277409396306878,"0.255707293699857",52.430375902,6692726.167,189,,"World"
"2008","adult_blood_pressure","gender","Female","H",,,"",0.237732149291005,"0.22252140489874",44.931376216,6692726.167,189,,"World"
"2009","adult_blood_pressure","gender","Female","H",,,"",0.235707806174603,"0.221138436253694",44.548775367,6775954.829,189,,"World"
"2009","adult_blood_pressure","gender","Male","H",,,"",0.275524400074074,"0.254463243809786",52.074111614,6775954.829,189,,"World"
"2010","adult_blood_pressure","gender","Male","H",,,"",0.273631212248677,"0.253175971718826",51.716299115,6859643.18,189,,"World"
